GHCN_DIN;DATE;PRCP;SNOW;TMAX;TMIN;NAME;COORD;ELEVATION;COUNTRY_CODE
USW00094290;2015-11-05;0.0;0.0;11.7;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-11;79.0;0.0;11.7;7.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-21;0.0;0.0;10.0;1.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-11-25;0.0;0.0;7.8;-0.5;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-12-03;145.0;0.0;12.8;8.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-12-04;38.0;0.0;11.1;6.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-12-18;130.0;0.0;8.3;5.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-12-21;140.0;0.0;5.6;3.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-06;0.0;0.0;11.7;5.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-01-26;0.0;0.0;17.2;6.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-07;198.0;0.0;13.3;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-02-08;33.0;0.0;14.4;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-04;0.0;0.0;12.8;-1.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-09;0.0;0.0;14.4;2.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-26;0.0;0.0;21.7;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-03-27;10.0;0.0;20.6;7.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-13;135.0;0.0;12.8;4.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-21;30.0;0.0;16.7;6.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-04-22;0.0;0.0;15.6;5.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-06;0.0;0.0;16.1;6.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-24;0.0;0.0;18.3;12.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-04;0.0;0.0;22.8;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-20;0.0;0.0;23.3;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
